Dr. C. NALINI,PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vSaYS2_dyVBsfLgfb3y_enqMuyVs2MUlZq3J_phCZEVjS2aNd4tJXuIL9sO0_R0gw/pub
Dr. R. S. LATHA,ASSOCIATE PROFESSOR,https://sites.google.com/a/kongu.edu/latha
Dr. K. SATHYA,ASSOCIATE PROFESSOR,https://sites.google.com/a/kongu.edu/ksathya-ctug
Dr. K. LOGESWARAN,ASSOCIATE PROFESSOR,https://sites.google.com/kongu.edu/logeswarank
Ms. S. HAMSANANDHINI,ASSISTANT PROFESSOR,https://sites.google.com/a/kongu.edu/hamsanandhini-ctpg/
Ms. A. S. RENUGADEVI,ASSISTANT PROFESSOR,https://sites.google.com/a/kongu.edu/renugadevi-a-s-ece/
Ms. S. SANTHIYA,ASSISTANT PROFESSOR,https://sites.google.com/kongu.edu/santhiyas/home
Ms. P. RAMYA,ASSISTANT PROFESSOR,https://docs.google.com/document/d/1cib_In5eRhCrWHZs00wzpsqCn7WL9AguT1OpUtAG6Kg/edit?usp=sharing
Ms. J. CHARANYA,ASSISTANT PROFESSOR,https://docs.google.com/document/u/1/d/e/2PACX-1vTPauYocWakPYAuJc3WoAC9oOgTfX3Lmqx54n0L8bLFqg3vKp1uVR-rXIeCd9PYvQ/pub
Ms. R. THANGAMANI,ASSISTANT PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vSXl88au8DvaOP-BJqAW1RHYZOQWyUzOsJAkPwDP4uwhOVKgs722LNsiNUpPljBFGYHugwsquiNQj0S/pub
Ms. M. SRI KRUTHIKA,ASSISTANT PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vSrXwxXX2Jzfu3R5pH2Q4Dwlr6YGHb44_t2d3ecnXW9BwDoY3Is5PST87SSPa75N-5_4GHbesHY5_Y6/pub
Ms. M. YOGA,ASSISTANT PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vSqrlZxosExaoFdVhGAiUGjfE9c-Zoi780H3wCdkhf_cFvH1x5Hnw3oGKCxQHLeSQ/pub
Ms. O. ABHILA ANJU,ASSISTANT PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vSWNbrrjbUTR4KzCEwHGIBm01tefh79XLyC2cgrZ04Xd6fFQoD2n_fcwk7oxDNUVQ/pub
Ms. S.BENIL JENIFFER,ASSISTANT PROFESSOR,https://docs.google.com/document/d/e/2PACX-1vTuiDYL1a_Kqu-FFBvwwbpCc23Q_Y8fbYIF8yvAwHHpe6Um0zEWujMaujj-x6_JOSC8NnVP6hiNaMyU/pub
